"filename", "language", "Kotlinscript", "Properties", "XML", "Kotlin", "Markdown", "Batch", "comment", "blank", "total"
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\voice\VoiceSearch.kt", "Kotlin", 0, 0, 0, 131, 0, 0, 46, 22, 199
"d:\code\accessible_dialer\app\src\main\java\com\accessible\dialer\voice\VoiceSearchSheet.kt", "Kotlin", 0, 0, 0, 162, 0, 0, 26, 9, 197
"d:\code\accessible_dialer\app\src\main\res\drawable\ic_launcher_foreground.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\code\accessible_dialer\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\code\accessible_dialer\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\code\accessible_dialer\app\src\main\res\values-ar\strings.xml", "XML", 0, 0, 168, 0, 0, 0, 13, 27, 208
"d:\code\accessible_dialer\app\src\main\res\values-de\strings.xml", "XML", 0, 0, 172, 0, 0, 0, 2, 27, 201
"d:\code\accessible_dialer\app\src\main\res\values-es\strings.xml", "XML", 0, 0, 168, 0, 0, 0, 2, 27, 197
"d:\code\accessible_dialer\app\src\main\res\values-fr\strings.xml", "XML", 0, 0, 168, 0, 0, 0, 12, 27, 207
"d:\code\accessible_dialer\app\src\main\res\values\colors.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\code\accessible_dialer\app\src\main\res\values\strings.xml", "XML", 0, 0, 581, 0, 0, 0, 34, 50, 665
"d:\code\accessible_dialer\app\src\main\res\values\themes.xml", "XML", 0, 0, 8, 0, 0, 0, 1, 1, 10
"d:\code\accessible_dialer\build.gradle.kts", "Kotlinscript", 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\code\accessible_dialer\gradle.properties", "Properties", 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\code\accessible_dialer\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\code\accessible_dialer\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 41, 30, 22, 93
"d:\code\accessible_dialer\settings.gradle.kts", "Kotlinscript", 16, 0, 0, 0, 0, 0, 0, 2, 18
"d:\code\accessible_dialer\ui.xml", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"Total", "-", 91, 11, 1394, 13813, 147, 41, 2546, 1126, 19169
